#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
584,29.070625,4.647139,G,4975.055841,0.016595,,47,,47,16,13,6,,8,16,1,4
585,29.182833,36.384528,G,4796.079743,0.015998,,50,,43,11,9,7,,,5,1,
586,29.191917,36.886389,G,5470.013189,0.018246,,59,1,53,11,11,7,,8,16,1,1
587,29.0945,-9.061417,G,1638.965368,0.005467,,110,1,64,25,17,7,,23,32,10,6
588,29.178708,17.710722,G,11429.887254,0.038126,,24,,29,11,9,3,,7,15,,3
589,29.181375,15.014806,G,4672.865043,0.015587,,36,2,54,18,13,7,,3,8,1,6
590,29.228625,33.015167,G,4599.116098,0.015341,,51,4,47,16,7,6,,9,19,1,3
591,29.2225,-2.018972,G,4442.924228,0.01482,,46,1,50,15,9,6,,11,19,1,2
592,29.290775,14.54988,G,7925.913005,0.026438,,66,1,91,23,19,15,,4,8,10,6
593,29.272233,-0.46826,G,6692.866625,0.022325,,49,1,52,18,15,6,,6,10,7,3
594,29.412167,36.255361,G,4540.056984,0.015144,,35,1,40,9,6,7,,,2,1,1
595,29.185375,-43.972583,G,5739.826401,0.019146,,50,2,48,13,10,19,,14,20,4,2
596,29.425833,35.916111,G,4858.136782,0.016205,,229,8,74,23,22,8,,21,52,15,5
597,29.335622,4.348465,G,4847.943838,0.016171,,21,,23,10,6,1,,3,6,,3
598,29.499583,4.395056,G,4764.901178,0.015894,,38,1,47,15,13,7,,3,8,1,3
599,29.535667,2.0645,G,6288.146807,0.020975,,61,1,59,17,9,7,,4,12,4,4
600,29.452667,-33.239806,G,5648.989286,0.018843,,44,1,54,14,14,18,,11,17,4,3
601,29.625167,25.360111,G,4915.097349,0.016395,,78,3,59,17,15,7,,11,24,5,4
602,29.502375,-35.572583,G,9918.933265,0.033086,,21,,44,11,6,16,2,3,4,4,
