#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
321 18.079333 -45.888417 -135.5472  80.73486165 0.02663200  0.02709639
322 18.079542 -50.401722 -107.6109  74.28095890 0.02455000  0.02491790
323 18.302039 34.965188  96.5152  46.26676061 0.01581400  0.01548707
324 18.443006 0.305726 -193.6477  133.67205773 0.04437400  0.04504904
325 18.518917 33.704194 -573.3988  62.83559010 0.01910700  0.02105993
326 18.61825 51.143972 -218.6341  98.86961785 0.03247600  0.03322952
327 18.609458 42.556306 -529.6488  64.18588496 0.01971000  0.02151473
328 18.542625 -1.853889 -318.4277  53.80064758 0.01693800  0.01801930
329 18.517083 -1.742278  60.7442  48.21645939 0.01634800  0.01614211
330 18.52925 -32.650889 -140.5045  37.14926351 0.01195200  0.01242650
331 18.491958 -62.399139 -78.7166  50.74537040 0.01672500  0.01699203
332 18.623958 -31.181444 -100.2350  56.23947169 0.01849900  0.01883965
333 18.734417 31.9485 -643.6016  58.06406430 0.01726500  0.01945359
334 18.790625 33.790694  456.7774  39.64291838 0.01480700  0.01326315
335 18.734417 0.130694  10.1240  123.10053955 0.04148700  0.04145183
336 18.760833 6.858333 -504.5092  60.20089435 0.01845600  0.02017281
337 18.765583 5.376139 -418.5673  57.13786135 0.01771900  0.01914192
338 18.874167 6.884167 -504.5092  60.12055414 0.01842900  0.02014576
339 18.966125 33.810722  456.7774  37.33953503 0.01403300  0.01249032
340 18.886167 -26.446833 -105.2636  37.95733854 0.01234200  0.01269758
341 19.061792 31.033833 -348.7389  52.96683973 0.01655500  0.01773890
342 18.968792 -54.554833  44.9086  53.84287046 0.01818600  0.01803350
343 19.246517 13.024961 -375.5761  65.07461452 0.02053400  0.02181412
344 19.188875 -52.434389 -226.1358  92.11076572 0.03016400  0.03094165
345 19.336 -33.840889 -179.3987  58.39844395 0.01895600  0.01956612
346 19.314875 -50.931278  29.5699  48.58146800 0.01636500  0.01626476
347 19.464875 -1.955861 -537.5458  64.71199516 0.01986000  0.02169195
348 19.536917 11.381778 -340.2621  55.16433263 0.01732200  0.01847796
349 19.667292 31.035972 -411.0472  72.20108551 0.02281200  0.02421631
350 19.792083 33.030556 -632.3359  61.89443673 0.01859000  0.02074300
351 19.768317 -0.138572 -538.0782  57.58526168 0.01746300  0.01929246
352 19.70175 -53.292639 -104.0764  74.96857176 0.02479400  0.02514989
353 20.061167 17.830222 -170.7905  88.21362844 0.02903700  0.02962357
354 20.028458 -0.205361 -148.6310  18.89870758 0.00581400  0.00631291
355 20.063949 -0.335842 -254.7830  141.31743850 0.04676400  0.04765436
356 20.191208 1.445222 -542.4550  59.49296341 0.01808900  0.01993451
357 20.26 2.96 -542.4550  58.76969464 0.01784600  0.01969106
358 20.334875 40.488194 -529.6488  63.85874130 0.01960000  0.02140453
359 20.29375 17.868611 -186.5659  86.78459324 0.02850000  0.02914045
360 20.283333 1.373333 -234.4426  51.88932759 0.01658100  0.01737661
361 20.22801 -36.32378 -191.8982  97.69908928 0.03217200  0.03283312
362 20.2705 -36.117833 -175.3357  96.63505364 0.03186900  0.03247285
363 20.338839 0.09039  114.9716  36.63440841 0.01264200  0.01225380
364 20.280256 -35.201977 -233.7466  61.38877947 0.01977700  0.02057274
365 20.324 -22.800667 -320.9691  62.13181694 0.01973000  0.02082293
366 20.449125 17.592417  42.6074  24.70392169 0.00839900  0.00825570
367 20.45792 18.267676 -186.5659  84.44272495 0.02770900  0.02834896
368 20.505711 37.400479 -577.3167  56.43112138 0.01694200  0.01890413
